,class
0,van
1,van
2,car
3,van
5,bus
6,bus
7,van
8,van
9,car
10,van
11,car
12,bus
13,van
14,bus
15,car
16,van
17,bus
18,car
19,car
20,bus
21,van
22,bus
23,bus
24,car
25,van
26,car
27,car
28,bus
29,car
30,van
31,car
32,car
33,car
34,car
35,van
36,bus
38,car
39,bus
40,car
41,van
42,van
43,car
45,van
46,van
48,van
49,car
50,car
51,car
52,car
53,bus
54,bus
55,van
56,car
57,van
58,car
59,van
60,car
61,car
62,van
63,bus
64,bus
65,car
66,bus
67,car
68,van
69,bus
70,car
71,car
72,car
73,car
74,van
75,car
76,car
77,car
78,bus
80,bus
81,bus
82,van
83,car
84,bus
86,van
87,van
88,bus
89,car
90,car
91,car
92,car
93,van
94,bus
95,car
96,car
97,bus
98,car
99,bus
101,van
102,van
103,van
104,bus
105,car
106,car
107,car
108,bus
109,bus
110,van
111,van
112,car
114,van
115,van
116,car
117,car
118,bus
119,bus
120,car
121,van
122,van
124,van
125,van
126,bus
128,van
129,bus
130,car
131,car
133,van
134,car
136,van
137,van
138,car
139,van
140,car
141,bus
142,car
143,bus
144,car
145,car
146,van
147,bus
148,car
149,van
150,car
151,bus
152,car
153,car
154,van
155,bus
156,car
157,van
158,car
159,car
160,car
161,car
162,car
163,car
164,car
165,car
166,car
167,car
168,bus
169,van
170,car
171,bus
172,van
173,bus
174,van
175,bus
176,car
177,bus
178,bus
179,van
180,car
181,car
182,bus
183,car
184,car
185,bus
186,bus
187,car
188,car
189,car
191,van
192,car
193,bus
194,car
195,bus
196,car
197,bus
198,bus
199,bus
200,van
201,car
202,car
203,car
204,van
205,van
206,car
207,bus
208,bus
209,car
210,car
211,van
212,bus
213,bus
214,car
215,car
216,car
217,car
218,bus
219,van
220,car
221,van
222,bus
223,bus
224,car
225,van
226,car
227,van
228,car
229,car
231,car
232,bus
233,car
234,van
235,van
236,bus
237,bus
238,car
239,bus
240,car
241,car
242,bus
243,car
244,van
245,van
246,bus
247,car
248,car
249,car
250,van
251,car
252,van
253,bus
254,van
255,car
256,car
257,car
258,car
259,car
260,car
261,car
262,van
263,van
264,car
265,bus
266,bus
267,car
268,van
269,van
270,bus
271,car
272,van
273,van
274,bus
275,bus
276,bus
277,car
278,car
279,bus
280,car
281,bus
282,bus
283,car
284,van
285,car
286,bus
287,van
288,car
289,car
290,van
292,bus
293,van
294,bus
295,bus
296,bus
297,car
298,car
299,bus
300,car
301,car
302,bus
303,van
304,bus
305,bus
306,car
307,car
308,car
309,car
310,car
311,van
312,bus
313,car
314,bus
315,van
316,van
317,car
318,van
319,bus
320,car
321,bus
322,bus
323,car
324,car
325,bus
326,car
327,car
328,van
329,car
330,van
331,car
332,car
333,bus
334,bus
335,car
336,van
337,bus
338,van
339,bus
340,bus
341,car
342,car
343,car
344,car
345,bus
347,car
348,van
349,car
350,car
351,car
352,van
